Parsing Domblout file
                                  target_name               desc             hmm_ID       E_value  Score
63    D1PA_S30C1_TRINITY_DN1771981_c8_g2_i4_1        CoA_binding            PF02629  1.100000e-07   24.8
64    D1PA_S30C1_TRINITY_DN1771827_c1_g2_i4_1         COesterase            PF00135  4.300000e-23   74.2
65   D1PA_S30C1_TRINITY_DN1771935_c11_g1_i3_3         COX15-CtaA            PF02628  1.200000e-04   13.5
66    D1PA_S30C1_TRINITY_DN1728476_c4_g1_i2_5             Croc_4            PF17691  4.200000e-04   12.5
67    D1PA_S30C1_TRINITY_DN1728481_c0_g4_i3_2             Cyt-b5            PF00173  7.300000e-12   37.6
68    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2              DivIC            PF04977  1.900000e-02    7.1
69    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2              DivIC            PF04977  1.900000e-02    7.1
70    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2              DivIC            PF04977  1.900000e-02    7.1
71    D1PA_S30C1_TRINITY_DN1728418_c0_g1_i1_2             DnaJ_C            PF01556  9.800000e-22   69.9
72    D1PA_S30C1_TRINITY_DN1728418_c0_g1_i1_2             DnaJ_C            PF01556  9.800000e-22   69.9
73    D1PA_S30C1_TRINITY_DN1728413_c1_g1_i2_2     DNA_pol3_tau_4            PF12168  1.800000e-01    4.6
74    D1PA_S30C1_TRINITY_DN1728413_c1_g1_i2_2     DNA_pol3_tau_4            PF12168  1.800000e-01    4.6
75    D1PA_S30C1_TRINITY_DN1728413_c1_g1_i2_2     DNA_pol3_tau_4            PF12168  1.800000e-01    4.6
76    D1PA_S30C1_TRINITY_DN1771833_c1_g1_i4_3              DOMON            PF03351  4.100000e-16   51.6
77    D1PA_S30C1_TRINITY_DN1728440_c1_g4_i1_2            DUF1289            PF06945  4.000000e+00   -0.3
78    D1PA_S30C1_TRINITY_DN1728440_c1_g4_i1_2            DUF1289            PF06945  4.000000e+00   -0.3
79    D1PA_S30C1_TRINITY_DN1728440_c1_g4_i1_2            DUF1289            PF06945  4.000000e+00   -0.3
80    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2              DUF16            PF01519  5.800000e-03    9.5
81    D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3            DUF1664            PF07889  6.200000e-06   18.6
82    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF1664            PF07889  2.700000e-05   16.5
83    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF1664            PF07889  2.700000e-05   16.5
84    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF1690            PF07956  2.500000e-04   13.8
85    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF1690            PF07956  2.500000e-04   13.8
86    D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3            DUF1759            PF03564  5.200000e-05   15.5
87    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF1904            PF08921  3.900000e-04   13.1
88    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF1904            PF08921  3.900000e-04   13.1
89    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF2205            PF10224  1.000000e-02    8.3
90    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF2205            PF10224  1.000000e-02    8.3
91    D1PA_S30C1_TRINITY_DN1771961_c1_g2_i1_1            DUF2207            PF09972  1.300000e-01    3.1
92    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF2408            PF10303  1.500000e-02    8.2
93    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF2802            PF10975  4.200000e-04   12.8
94    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF2802            PF10975  4.200000e-04   12.8
95    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF2802            PF10975  4.200000e-04   12.8
96    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF2802            PF10975  4.200000e-04   12.8
97    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF3349            PF11829  2.900000e-02    7.6
98    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF3349            PF11829  2.900000e-02    7.6
99    D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF3349            PF11829  2.900000e-02    7.6
100   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF3450            PF11932  3.400000e-07   22.0
101   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF3450            PF11932  3.400000e-07   22.0
102   D1PA_S30C1_TRINITY_DN1728413_c1_g1_i2_2            DUF3813            PF12758  2.900000e-05   16.7
103   D1PA_S30C1_TRINITY_DN1728413_c1_g1_i2_2            DUF3813            PF12758  2.900000e-05   16.7
104   D1PA_S30C1_TRINITY_DN1728413_c1_g1_i2_2            DUF3813            PF12758  2.900000e-05   16.7
105  D1PA_S30C1_TRINITY_DN1728445_c10_g1_i2_2            DUF4116            PF13475  1.100000e-16   52.7
106  D1PA_S30C1_TRINITY_DN1728445_c10_g1_i2_2            DUF4116            PF13475  1.100000e-16   52.7
107   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF4140            PF13600  4.000000e-01    3.6
108   D1PA_S30C1_TRINITY_DN1771789_c7_g3_i1_2            DUF4200            PF13863  1.000000e-03   11.7
109   D1PA_S30C1_TRINITY_DN1771789_c7_g3_i1_2            DUF4200            PF13863  1.000000e-03   11.7
110   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2            DUF4253            PF14062  2.400000e-04   13.6
111   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF4407            PF14362  3.100000e-03    9.1
112   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3            DUF4446            PF14584  1.200000e-01    4.7
113   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3            DUF4446            PF14584  1.200000e-01    4.7
114   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF4600            PF15372  9.300000e-04   11.8
115   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF4600            PF15372  9.300000e-04   11.8
116   D1PA_S30C1_TRINITY_DN1771830_c5_g2_i6_5            DUF4611            PF15387  8.700000e-04   11.9
117   D1PA_S30C1_TRINITY_DN1771830_c5_g2_i6_5            DUF4611            PF15387  8.700000e-04   11.9
118   D1PA_S30C1_TRINITY_DN1771830_c5_g2_i6_5            DUF4611            PF15387  8.700000e-04   11.9
119   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF5082            PF16888  3.200000e-06   19.8
120   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF5082            PF16888  3.200000e-06   19.8
121   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF5660            PF18904  5.700000e-03    9.3
122   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF5660            PF18904  5.700000e-03    9.3
123   D1PA_S30C1_TRINITY_DN1771753_c1_g1_i1_1            DUF5697            PF18954  1.200000e-04   14.6
124   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF5930            PF19353  3.600000e-03    8.6
125   D1PA_S30C1_TRINITY_DN1771849_c0_g1_i2_3            DUF6264            PF19779  6.500000e-02    5.6
126   D1PA_S30C1_TRINITY_DN1771849_c0_g1_i2_3            DUF6264            PF19779  6.500000e-02    5.6
127   D1PA_S30C1_TRINITY_DN1771833_c1_g1_i4_3            DUF6603            PF20248  2.900000e-04   11.7
128   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF6779            PF20570  3.700000e-03   10.3
129   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            DUF6779            PF20570  3.700000e-03   10.3
130   D1PA_S30C1_TRINITY_DN1771825_c1_g2_i1_3             DUF713            PF05218  4.200000e-05   15.6
131   D1PA_S30C1_TRINITY_DN1771825_c1_g2_i1_3             DUF713            PF05218  4.200000e-05   15.6
132   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2             DUF724            PF05266  5.100000e-05   15.5
133   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3             DUF745            PF05335  1.500000e-03   10.5
134  D1PA_S30C1_TRINITY_DN1771935_c11_g1_i3_3             DUF998            PF06197  1.300000e-05   17.2
135   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3               EbsA            PF17255  7.500000e-04   12.1
136   D1PA_S30C1_TRINITY_DN1771928_c6_g1_i1_1          Enolase_N            PF03952  2.700000e-18   58.8
137   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2        ERM_helical            PF20492  1.400000e-03   11.0
138   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2        ERM_helical            PF20492  1.400000e-03   11.0
139   D1PA_S30C1_TRINITY_DN1728483_c1_g1_i1_2    ER_lumen_recept            PF00810  1.400000e-11   37.7
140   D1PA_S30C1_TRINITY_DN1728483_c1_g1_i1_2    ER_lumen_recept            PF00810  1.400000e-11   37.7
141   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2             Exog_C            PF18026  5.600000e-05   15.4
142   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2             Exog_C            PF18026  5.600000e-05   15.4
143   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2             Exog_C            PF18026  5.600000e-05   15.4
144   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3       Exonuc_VII_L            PF02601  9.700000e-02    4.4
145   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               FapA            PF03961  1.200000e-04   14.1
146   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3               FapA            PF03961  8.800000e-02    4.6
147   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3               FapA            PF03961  8.800000e-02    4.6
148   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               Fez1            PF06818  1.100000e-02    8.4
149   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2          Fib_alpha            PF08702  1.600000e-03   10.9
150   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2          Fib_alpha            PF08702  1.600000e-03   10.9
151   D1PA_S30C1_TRINITY_DN1771902_c7_g1_i1_3               FixQ            PF05545  4.900000e-04   12.4
152   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2          FlaC_arch            PF05377  6.200000e-04   12.5
153   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2          FlaC_arch            PF05377  6.200000e-04   12.5
154   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2          FlaC_arch            PF05377  6.200000e-04   12.5
155   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               FlxA            PF14282  6.400000e-04   12.1
156   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               FlxA            PF14282  6.400000e-04   12.1
157   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               FUSC            PF04632  5.300000e-03    7.6
158   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2      Fzo_mitofusin            PF04799  4.400000e-03    8.8
159   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2      Fzo_mitofusin            PF04799  4.400000e-03    8.8
160   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2      Fzo_mitofusin            PF04799  4.400000e-03    8.8
161   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2                GAS            PF13851  4.800000e-04   11.8
162   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2                GAS            PF13851  4.800000e-04   11.8
163   D1PA_S30C1_TRINITY_DN1771765_c0_g2_i1_3     Glyco_transf_8            PF01501  7.300000e-08   24.5
164   D1PA_S30C1_TRINITY_DN1771765_c0_g2_i1_3     Glyco_transf_8            PF01501  7.300000e-08   24.5
165   D1PA_S30C1_TRINITY_DN1771789_c7_g3_i1_2    Glyco_trans_1_3            PF13528  3.000000e-04   12.2
166   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               GP57            PF17594  2.300000e-05   16.4
167   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2               GP57            PF17594  2.300000e-05   16.4
168   D1PA_S30C1_TRINITY_DN1771745_c3_g3_i2_3                HAD            PF12710  2.300000e-04   13.9
169   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2            HAUS6_N            PF14661  1.900000e-01    3.5
170   D1PA_S30C1_TRINITY_DN1771849_c0_g1_i2_3        Herpes_LMP1            PF05297  4.500000e+00   -1.5
171   D1PA_S30C1_TRINITY_DN1771849_c0_g1_i2_3        Herpes_LMP1            PF05297  4.500000e+00   -1.5
172   D1PA_S30C1_TRINITY_DN1771745_c3_g3_i2_3             HTH_22            PF13309  6.200000e-04   12.2
173   D1PA_S30C1_TRINITY_DN1771745_c3_g3_i2_3          Hydrolase            PF00702  3.200000e-19   62.3
174   D1PA_S30C1_TRINITY_DN1771745_c3_g3_i2_3        Hydrolase_3            PF08282  8.200000e-06   18.0
175   D1PA_S30C1_TRINITY_DN1771745_c3_g3_i2_3        Hydrolase_3            PF08282  8.200000e-06   18.0
176   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3               IATP            PF04568  4.100000e+00    0.3
177   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3               IATP            PF04568  4.100000e+00    0.3
178   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3           IFP_35_N            PF07334  3.600000e-01    3.3
179   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3           IFP_35_N            PF07334  3.600000e-01    3.3
180   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3           IFP_35_N            PF07334  3.600000e-01    3.3
181   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2             IFRD_C            PF04836  5.100000e-04   12.9
182   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2             IFRD_C            PF04836  5.100000e-04   12.9
183   D1PA_S30C1_TRINITY_DN1771820_c5_g7_i1_2               IlvN            PF07991  7.600000e-07   21.1
184   D1PA_S30C1_TRINITY_DN1771820_c5_g7_i1_2               IlvN            PF07991  7.600000e-07   21.1
185   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2         Knl1_RWD_C            PF18210  1.100000e+00    1.8
186   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2              LMBR1            PF04791  3.400000e-03    8.5
187   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2                LPP            PF04728  4.700000e-02    6.3
188   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2                LPP            PF04728  4.700000e-02    6.3
189   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2                LPP            PF04728  4.700000e-02    6.3
190   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3                  M            PF02370  1.100000e+00    2.8
191   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3                  M            PF02370  1.100000e+00    2.8
192   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3                  M            PF02370  1.100000e+00    2.8
193   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3                  M            PF02370  1.100000e+00    2.8
194   D1PA_S30C1_TRINITY_DN1771765_c0_g2_i1_3    Mannosyl_trans3            PF11051  9.400000e-06   17.4
195   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2                MCU            PF04678  2.400000e-01    3.7
196   D1PA_S30C1_TRINITY_DN1771759_c0_g2_i2_1               Med8            PF10232  8.400000e-04   11.2
197   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2      MerR-DNA-bind            PF09278  4.600000e-02    6.7
198   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2      MerR-DNA-bind            PF09278  4.600000e-02    6.7
199   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2      MerR-DNA-bind            PF09278  4.600000e-02    6.7
200   D1PA_S30C1_TRINITY_DN1771966_c2_g3_i1_2             MIP-T3            PF10243  4.600000e-39  125.2
201  D1PA_S30C1_TRINITY_DN1728445_c10_g1_i2_2                MIT            PF04212  4.100000e-04   12.7
202   D1PA_S30C1_TRINITY_DN1771752_c0_g4_i1_1       MPAB_Lcp_cat            PF09995  1.600000e-10   33.7
203   D1PA_S30C1_TRINITY_DN1771752_c0_g4_i1_1       MPAB_Lcp_cat            PF09995  1.600000e-10   33.7
204   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2      Myosin_tail_1            PF01576  4.600000e-06   16.9
205   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3        NADH_u_ox_C            PF12853  4.900000e-05   15.6
206   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3        NADH_u_ox_C            PF12853  4.900000e-05   15.6
207   D1PA_S30C1_TRINITY_DN1771911_c0_g2_i2_1            NIR_SIR            PF01077  4.600000e-27   86.7
208   D1PA_S30C1_TRINITY_DN1771888_c4_g3_i2_2       NIR_SIR_ferr            PF03460  2.600000e-20   64.4
209   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3               OmpH            PF03938  6.100000e-02    5.9
210   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3               OmpH            PF03938  6.100000e-02    5.9
211   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3               OmpH            PF03938  6.100000e-02    5.9
212   D1PA_S30C1_TRINITY_DN1728413_c1_g1_i2_2         p47_phox_C            PF08944  3.500000e-04   12.3
213   D1PA_S30C1_TRINITY_DN1771946_c3_g2_i1_1         peroxidase            PF00141  6.400000e-23   73.9
214   D1PA_S30C1_TRINITY_DN1771961_c1_g2_i1_1    Phage_holin_3_6            PF07332  8.100000e-03    8.5
215   D1PA_S30C1_TRINITY_DN1771982_c1_g2_i1_1      Phosphorylase            PF00343  8.100000e-58  188.4
216   D1PA_S30C1_TRINITY_DN1771995_c1_g5_i1_3              PIN_2            PF10130  1.100000e-03   11.5
217   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2     Plasmid_RAQPRD            PF09686  9.900000e-03    8.4
218   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2     Plasmid_RAQPRD            PF09686  9.900000e-03    8.4
219   D1PA_S30C1_TRINITY_DN1728441_c1_g1_i3_2     Plasmid_RAQPRD            PF09686  9.900000e-03    8.4
220   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2                PPR            PF01535  1.700000e-17   54.9
221   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2                PPR            PF01535  1.700000e-17   54.9
222   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2                PPR            PF01535  1.700000e-17   54.9
223   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2                PPR            PF01535  1.700000e-17   54.9
224   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_1            PF12854  9.500000e-12   36.8
225   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_1            PF12854  9.500000e-12   36.8
226   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_1            PF12854  9.500000e-12   36.8
227   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_1            PF12854  9.500000e-12   36.8
228   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_1            PF12854  9.500000e-12   36.8
229   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_2            PF13041  8.400000e-27   85.5
230   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_2            PF13041  8.400000e-27   85.5
231   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_2            PF13041  8.400000e-27   85.5
232   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_2            PF13041  8.400000e-27   85.5
233   D1PA_S30C1_TRINITY_DN1728416_c0_g2_i1_2              PPR_2            PF13041  8.400000e-27   85.5
